@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
267,'2022/02/21 13:16:50:882',2,179.29306,191.846298,59.203041,2
268,'2022/02/21 13:16:50:985',2,166.508255,180.069427,33.615471,2
269,'2022/02/21 13:16:51:085',2,175.581894,181.705811,16.124516,2
270,'2022/02/21 13:16:51:181',2,171.417618,176.91806,10.770329,2
271,'2022/02/21 13:16:51:280',2,156.818359,176.082367,59.908264,2
272,'2022/02/21 13:16:51:383',2,160.012497,175.846527,44.384682,2
273,'2022/02/21 13:16:51:478',2,156.923553,186.037628,65,2
274,'2022/02/21 13:16:51:581',2,155.15799,180.941986,53.310413,2
275,'2022/02/21 13:16:51:676',2,158.012665,180.055542,43.863426,2
276,'2022/02/21 13:16:51:776',2,150.402786,174.183807,59.774578,2
277,'2022/02/21 13:16:51:875',2,152.085495,181.220856,120.784935,2
278,'2022/02/21 13:16:51:974',2,169.248337,200.883057,154.055191,2
279,'2022/02/21 13:16:52:073',2,175.171341,213.053986,174.140747,2
280,'2022/02/21 13:16:52:172',2,174.522202,221.334595,178.630905,2
281,'2022/02/21 13:16:52:272',2,171.470108,227.167343,196.573135,2
282,'2022/02/21 13:16:52:371',2,172.965317,232.142197,197.496841,2
283,'2022/02/21 13:16:52:469',2,171.230835,228.877701,214.525055,2
284,'2022/02/21 13:16:52:562',2,174.24408,227.299362,225.375244,2
285,'2022/02/21 13:16:52:668',2,177.115784,230.521149,223.056046,2
286,'2022/02/21 13:16:52:761',2,171.093536,234.759445,218.020645,2
287,'2022/02/21 13:16:52:860',2,170.601883,230.586212,206.021851,2
288,'2022/02/21 13:16:52:960',2,168.807587,232,200.039993,2
289,'2022/02/21 13:16:53:060',2,168.404282,232,206.087357,2
290,'2022/02/21 13:16:53:158',2,164.438431,221.822006,198.305313,2
291,'2022/02/21 13:16:53:257',2,163.816971,220.510773,194.3116,2
292,'2022/02/21 13:16:53:356',2,159.765457,213.037552,199.123077,2
